Topic,Count,Name,Representation,Representative_Docs
80,35,80_memory_process_jvm_kill,"['memory', 'process', 'jvm', 'kill', 'jboss', 'cpu', 'oom', 'swap', 'heap', 'semaphore']","['recommendation counterintuitive actually lower max heap size   gb raise min size notice slowdown app request processing jvm ask window memory increase size heap fill uncollected object \n addiotion previous answer permgen account permgen heapspace current configuration java process sum mb total machine \n finally account thing run server need ram not mention swap use server tell machine swap cause application react slowly time prevent jvm hit swap well frequently trigger garbage collector allocate heap java heap swap \n faqs ll soracle say bit window ll limit max heap size     gb able stable high suspect run similar configuration \n addition ram need load jvm native code jvm ram store code generate jit compiler \n problem probably starve process ram general rule thumb xms xmx follow \n gb system xmsm xmxm case xmsm xmx \n guess request take long time run bc heap size high jvm allocate physical memory window window spend lot time swap page memory disk provide require memory jvm \n commandline use reserve   megabyte java heap xmxm   megabyte permgen xxmaxpermsizem permgen allocate separately java heap store java class load jvm \n not run jruby app tomcat run coldfusion app varied jee app server similar issue', 'system enter oom phase consequence java process kill instantaneously   not memory message java log observe \n situation occur actual memory usage grow ram system provide kernel activate oom killer try kill process free memory usually kill young process consume large amount ram depend cause havoc modify affinity oom kill specific process adjust procoomadj example want avoid situation oom kill database large ram abuser \n set xmx xms value prevent heap resize not mean java process start memory startup allocate need virt memory resident datum set will not grow xms stay low need \n term virtual memory kernel promise overcommit java process ask xmx   additional memory will not allocate immediately need current datum allocate observe resident set size nonswappe physical memory task virt rss size run following command \n overcommit default enable linux heuristic mode mean kernel usually allow overcommit   meaning promise memory process request actually deliver hope process actually start memory time maybe overcommit disabled server check run \n probability error observe indication program run java virtual machine process lack heap space try increase xmx set retest app', 'basically adjust likelihood procoomadj file eg raise likelihood kill currently run apache instance \n limitsconf lot limitationbetter solution use cgroup restrict memory utilization process \n restart problem solution well way find offend process consume high memory \n like mention linux oom mechanism find offend process kill release memory pressure \n recommend completely disable swap server issue swap slow grind server virtual standstill s swapspace leave trigger oom killer \n debian wheezy vps box run couple django app production ideally try address current memory footprint issue optimize app add ram augment swap problem doubt s memory optimization d milk optimize django app stack opensource robust add ram cost constraint remote vps host not offer option use swap \n love solution ability detect process generally total system memory usage exceed certain critical example free ram fall    ve notice occur vpss long traffic suddenly heavy app stage app \n vmpaniconoom   etcsysctlconfthis generate vmcore system go memoryyou find info \n linux kernel socalled oom killer builtin memory killer box exhaust ram   swap kernel start kill stuff server accessible \n etccgconfigconf define control group like thishere restrict app use mb memory \n meantime wait secure resource afford ram wish mitigate scenario server run memory request vps restart point not ssh box \n etccgrulesconf define app utilzationin case django   not exceed \n tweak priority process determine likelihood process kill \n wish able killrestart offend process   likely apache solution manually situation restore sane memory usage level   hint possibly django app memory leak \n httpsaccessredhatcomdocumentationenusredhatenterpriselinuxhtmlresourcemanagementguidesecmemoryhtml \n process leak memory use etcsecuritylimitsconf limit memory server contain   prevent server grow large   effect achieve temporary basis ulimit command   good use ulimit discover appropriate size set value limitsconf file   server support drop file etcsecuritylimitsd edit etcsecuritylimitsconf']"
81,35,81_dropbox_sync_unison_folder,"['dropbox', 'sync', 'unison', 'folder', 'upload', 'onedrive', 'photo', 'google', 'file', 'synchronize']","['important highlight not upload file change example unique file weighting gb let encrypt disk drive hold like use truecrypt pgpdisk change couple file inside encrypt disk dropbox upload block effectively change instance upload pgpdisk file gb dropbox change let mb gb dropbox intelligent detect update change not waste upload bandwidth upload stuff \n feature see dropbox team work dropbox detect instance dropbox run local network sync information example laptop desktop dropbox account update file desktop   desktop instantly sync cloud   plug laptop instead go cloud dropbox instead download diff directly desktop computer will not waste download bandwidth come   sweet feature \n backup webfile site   gb initial upload gb everytime sync dropbox figure delta file upload entire thing version \n cool date version large file not want kill bandwidth uploading gb everytime', 'alternatively use mobile application think iphone support moment sync mobile phone transfer file tofrom data cable wireless pairing \n hover folder web interface ll arrow right click ll option download folder zip file \n upload multiple file new design allow pretty easily folder not know good way recommend mobile application \n look upload large folder online dropbox external storage drive store computer \n dropbox open computer dragdrop folder dropbox open browser upload begin \n upload mb folder video pic folder online webpage simply drag external drive dropbox folder computer \n finish uploadingsynce webpage mystoragedrive folder configure webpage folder sync computer tray iconcog wheelpreference selective sync delete computer \n save upload   file separately pic external drive dropbox webpage waste space computer dropbox folder \n will not answer question fully upload folder file dropbox webpage store computer', 'dropbox manage certain folder device not imagine d control emulated camera directory s likely find picture copy get copy app decide communicate copypaste image look sync section phone dropbox look automatically \n picture messenger picture store map storageemulateddcimcamera messenger picture save cloud \n android option bulk upload photo media directory prompt allow dropbox access medium file \n dropbox sync sync phone picture cloud dropbox work like charm thing want sync picture dropbox folder \n not share button use send photo dropbox use ifttt similar service connect phone thing dropbox']"
82,35,82_archive_compress_compression_tar,"['archive', 'compress', 'compression', 'tar', 'zip', 'file', 'decompress', 'uncompressed', 'gzip', 'cpio']","['s question need ask decide   overhead have handle single large archive instead multiple small one worth space saving   depend store datum economical use small archive especially likely need folder time \n impossible absolute certainty large archive theoretically result small archive size block datum find repetitive   assume datum homogenize \n middle ground solid block archiver not process entire file time file \n folder gb folder total gb datum compress folder way individually create compress archive altogether single large compressed archive \n simply have archive not waste space multiple archive file header   s minimal space archive file take valid archive end take space archive create   widely exception cpio format header archive instead perfile header \n archive solid compression nonsolid archive like zip archive compress file individually enable easily decompress single file archive allow add file archive have recompress \n realistically usually good compression ratio archive instead archiver significantly well example zpaq deduplication archive save lot space s lot duplicate datum \n entirely possible certain folder contain file similar block datum compress well individual archive \n compression large archive result well compression individual compression folder necessarily \n generally speak assume datum compress type compression algorithm not care time decompress large file method result well compression total size compress file scenario tend equal \n solid archive lot hard decompress file end stream decompress necessarily write disk add file algorithm need', 'file header file include size archive allow file content skip need   tar seek header follow file content   documentation header format \n mechanism compress datum seek position uncompressed datum   compression program allow seek individual file compress archive file compress archive access tar file   tar file rarely compress tool compress uncompressed tar file include archiving set file \n seekable compress format   compression work find relatively small number byte represent datum compress   block datum relatively byte value repeat byte string compress   block datum lot different byte value repeat byte sting compress   data compression actually increase size file compression ratio block file vary   variance extreme tar file consist compressible file relatively noncompressible file  \n  httpsserverfaultcomquestionsisthereasmartertarorcpiooutthereforefficientlyretrievingafilestore \n compress tar file   freely switch uncompressed compress tar file format appropriate uncompression program gunzip compression program gzip   tar program option   tar file remain seekable compress \n tar archive seekable large difference list extract file unfortunately man page scarce information compress archive seekable   post provide evidence reliable source information read issue', 'extract file gunzip support extract source directory standard output \n  gz archive single tar archive alternatively stop format require double \n put terminal inputfile directory zip create archive current directory save \n decompress read entire archive not archiving linux window like use zip create zip archive lzma compression worth note method comparable compression targz yeild large archive lack solid compression targz popular linux world compare zip distribute software \n format not support random access zip archive use centralized catelogue random file access possible \n want individually compress file archive random access dar disk archive look new version support lzma compression algorithm zip possible define filter store file type uncompressed save time eg medium file archive compression favorite feature compress exist uncompressed archive quickly backup run cpu intensive lzma compression convenient time powerful machine \n want file individual tar archive store gz archive will not \n put terminal directory want extract tar extract current directory \n extract content gz archive current directory homemeexampleextractall remove \n copy file wish archive different folder gunzip not allow keep \n create seperate gz archive file use max compression system not handle \n mount tar archive extract desire gz archive believe possible extract individual file tar archive tar not know command m approach \n yes know question old people like google tar compress individually get result \n create zip archive inputfile directory content exclude hidden file use max compression \n ve read question multiple time difficult understand think ve get \n show encryption possible allow extraction individual file dar equivalent tocommand hard tell question intend feature decompression \n compress file inside tar result sequential access gz archive tar \n compress gz opposite file gz archive']"
83,34,83_game_play_mechanic_puzzle,"['game', 'play', 'mechanic', 'puzzle', 'level', 'designer', 'player', 'fun', 'developer', 'money']","['notice social game concept timeout farm game etc obviously make sense stuff grow etc notice angry bird introduce individual angry bird game pretty stateless not lot sense glance user upset \n second s purpose online game purpose josh point answer usually balance player prevent have advantage time   player dominate spend   hour day game chance win have fun   reason   spread content game player not reach end hour especially useful mmos game tend launch content   case web game decrease bandwidth usage bandwidth long issue concern early day web s probably reason convention   josh mention law country prevent extended play session encourage player return game later   valid point \n m familiar angry bird not sound like reason apply m afraid not help \n possibile explaination encourage player return game later presumably produce ad revenue adsupported game possibly depend term ad contract increase mindshare diverse social population especially important game strong social component \n angry bird not bring revenue seeing play free version update free \n finally application   hard   tv show sort thing year soap opera excel tv take idea radio dramas tune time hero escape   prior book publish serial format include charles dicken novel wiki article serial literature include example   apply idea not entertainment exercise ill leave \n purpose bring money help retain user new concept application particularly nongame realm \n new concept     lot web game use timeout form term action point limit total action player low number   true   year ago online game utopia true web game today x action point hour different thing cost different amount point   mechanic board game card game usually line play x card turn usually way game move \n angry bird not remember see level unlockable time like issue update s new level add mention exist place   download month come \n explaination people away game country law involve limit penalize player certain scenario play long game not want allow player vastly time available unfair advantage casual block time ff   developer claim reason game limit xp gain hour play example \n angry bird particularly rio   recall game come specify expect unlockplay level ie stage   stage   june etc level   update come remove timeline completely stage half available not know marketing scheme trouble meet deadline \n forth bring money help retain user     quote leave want come mind   force user stop play hopefully want come reason participate community game ve point today let read forum bit talk game   source income   buy   action point    course upset game balance let rich people free time dominate \n having play ville game timeout sound awful lot like cooldown period new concept   sort game cool period rpgs mmo fps etc cooldown period long ville game reply mention reason', 'problem character look visible talk artist artist turn direct programmer rendering issue stop artist \n work game helpful know little game design character designer benefit understand atheistic game effect gameplay example not want player confuse goombas oneup \n game designer design game specifically design rule game player interact game design way mario physics work design rule jump goombas head design level way player force learn goombaheadjumpingphysic \n not mean not role create game time role influence role significantly rate game developer programmer tester sound engineer etc \n game crash directly lead programmer likely submit bug report go lead programmer lead programmer figure bug come forward appropriate programmer fix \n problem game feel way stop game designer person assess problem direct ai designer direct ai programmer require art fixmodification ultimately game designer problem game designer come solution \n game designer need consult order solve game design problem need able work programmer ai need need able work scripter challenge location need able work artist graphic not way gameplay fulfill overall vision \n game designer ultimate responsibility gameplay design behave include element art sound programming scripting etc mean artist sound people programmer scripter game designer \n talk title role talk answer question problem withconcern x talk order fix \n person desire job artwork development video game exact term general career confuse want character design general career fall term video game overall concept game design illustration confuse game design create entire game head specific area development like art wrong game design work idea artwork term separate helpful answer appreciate \n hear game designer think somebody think game mechanic freedom constraint level design balance etc actually program game game artist', 'ask community action like submit approve level design xml sketch receive cent sell copy game \n basically lack interesting thing people actually play platformer technical stuff ve list quickly compare interesting game level level need lot thought work polish tend spawn feature idea express exist component not level not game \n community people wait play game go hard time get people design level   concept truly original people go hard time design good level not know game work \n good solution s time decent success release game set level possibly friend level designer hire afford release tool level   people like game ll build level encourage ll sort people make content game little effort   properly extend life game encourage new people buy \n copyright yes country copyright create soon create course apply code asset game concept protect copyright \n possible publish game concept ask community level design game concept save copy copyright game concept game not officially release \n not mind thing guess work theory let consider criterion good case \n trick good set level start encourage people buy game   possible idea game level editor away free buy game play level \n sum basically go publish specialized game engine ask people game return small fee forbid use engine idea capitalism ho ve see consider hard consistent game level different people remember nicely level theme world goo versus list abrupt challenge n \n game concept safe not matter true success game implementation idea game clone exactly successful decent game designer unmade idea able implement concept well \n point consider good employ leveldriven development think possible cool application game mechanic build level find level designer concept good steal regardless not worry real value lie concept \n m develop d physics platformer game commercial purpose finish']"
84,33,84_cpu_thread_core_processor,"['cpu', 'thread', 'core', 'processor', 'process', 'clock', 'task', 'priority', 'instruction', 'interrupt']","['  core clock cycle basically equivalent   cpu try independent work moment   limit ram io   program operating system write distribute work multiple core modern one \n program use thread work thing   thread section program complete work independently main program   multicore system thread execute mean work complete fast   program not divide work thread old program game will not benefit run program ll benefit program cpu core  \n cpu work live ram   external ram dimms slow cpu   mean thing occupy external ram cpu wait cache ram near speed cpu   cpus memory controller try frequently access thing cache  \n give modern os thing background compete cpu resource program extent benefit multiple core well   matter   run old program single nonthreaded program time \n type work math heavy slow clock save power   cpu day allow os manage clock speed way reason \n cache ram greatly affect performance cpu work ram temporarily   want possible application operating system \n clock cycle cpu try work   fast clock work try   cpu wait stuff work come ram io device limit factor performance clock speed   involve heavy math computation lot encryption fast clock frequency benefit', 'application specifically write require access cpu m sure s possibility not matter \n single thread application run core able use resource single core provide \n run single thread application multicore machine advantage core \n say   core ghz cpu want os single core ghz cpu   s case not \n amd year core control software merge core increase clock speed user limit core combination run   core    core merge able   clock base \n tom hardware utility have application affinity specific cpu launch   not try   find \n understand wish transform dual core cpu cpu   perspective single thread application   twice fast core unfortunately close idea implement intel cpus smartly overclock core load oder core idle', 'processor real core hyperthreade process run depend entirely operate system scheduling system   scheduling system influence affinity setting decide process run   process thread switch processor core scheduler see fit \n example let assume process thread single thread application work hard dual core processor dual cpu make difference \n far operating system application concern core separate processor subject affinity rule have multiple processor \n understand multicore processor run multiple thread process time different core \n set processor affinity process b limit cpu thread process bind cpu run cpu   process c result real change run cpu time \n limited knowledge operating system believe process thread thread schedule process   process simply hold information program thread set run   way single thread application get treatment multithreade application multithreaded application use resource well \n process thread multithreading os level construct low level scheduling disappear bunch thread execution queue execution time']"
85,33,85_balancer_load_haproxy_balance,"['balancer', 'load', 'haproxy', 'balance', 'request', 'http', 'ssl', 'server', 'web', 'endpoint']","['generally response load balanced request straight gateway load balancer \n imagine loadbalancer face internet dispatch request workerserver local network \n avoid single point failure load balancer set dual stack vrrp single load balancer fail traffic vrrp use share mac address ip address accomplish seamless failover \n set loopback address server call aliasing ip know outside world request come ip destination ip address load balancer direct request base load balance criterion direct request server \n load balancer spof inbound request outbound request go straight gateway bypass spof   ack need come load balancer kind pointless \n generally load balancer own public ip address give time run heartbeat soon live load balancer lose heartbeat ie crash go offline etc nd load balancer take ip address \n way workerserver respond directly original socket   connection   ip respond loadbalancer forward response make spof \n load balancer transparently load balance destination nat load balancer need return traffic nat original ip client open connection open connection load balancer   server pool send reply ip   m go drop packet not know   m try talk', 'wish consider reverse proxy   squid apache nginx lighttpd provide functionality   web request reverse proxy reverse proxy forward request end web server heavy load approach lvs far easy initially configure \n linux virtual server provide intermediate server loadbalancer simply forward incoming ip packet server send response directly request client \n use haproxy implement load balance proxye tcp httpbase application load balancing algorithm roundrobin leastconn \n web application currently run single lamp server m plan   split server client request reach server forward second server case load high \n sticky load balancer client stick server sticky session work application real load balance client stick server server stop work client stick server will not able use website temporally \n simple load balancer client randomly depend parameter like server load amount request etc new server request good web application need configure need synchronize session possible cache different server memcache example provide ha haproxy example detect server stop send client automatically', 'typical setup actually work reverse propose   implement frontend load balancer eg haproxy nginx varnish etc   hardware base later dns \n assume valid host machine answer incoming http request basic approach load balance   basic conjecture programmer suggest probably utilize dns traffic get high robust require   assume proxy leverage degree check host busy answer ongoing processing one vacant \n admin need know exactly application ramp load determine good implement loadbalancing additionally database backend need redundant   thing ask provide admin order adequately design server infrastructure \n question theory order help developer understand process sysadmin go use app deployment distribute app   d appreciate insight help plan possible eventual pitfall end valuable resource entrylevel question topic \n problem traffic flow single load balancer level make significant point failure failover reduce impact significantly point single node able handle traffic need flow problem resolve dns   request return different ip correspond different load balancer \n incoming request reach load balancer typically able perform function include \n sorry vagueness not able find decent primer subject developer standpoint   appreciate help \n important issue need watch view client regardless choose server server cloud \n well approach use dedicated hardware load balance example run linux box install load balance software like haproxy \n load balance http request way dns roundrobin way not control \n load balance approach completely depend design specification hopefully ve provide admin   load balance guide multiple way depend website robustness solution require   eg static website need redundancy business impact round robin dns fine need redundancy cluster fine    need   reliability loadbalancing base response time need redundant dedicated hardware network loadbalancer \n application datum tier build entirely python wsgi test ve utilize modwsgi apache   theoretically deploy identical machine connect databasesresource application layer order business spread request overall domain   list multiple record dns']"
86,33,86_dc_domain_ad_controller,"['dc', 'domain', 'ad', 'controller', 'fsmo', 'active', 'dcpromo', 'dcs', 'role', 'demote']","['particular area concern replication role current controller gp setting instance ramification switch machine primary \n network   machine currently dcs run window server   dc   dc dc year old poweredge   recently increasingly flakey past fortnight fall twice \n agree jeff say add dns record replicate dns server dhcp database backup restore different dhcp server manae lease duration change smooth not tie screw sure set way ve take   day max cover fsmo role dnsdhcp record \n microsoft wealth article move role service server   dcs need particularly careful order thing happen gracefully guide post question not simple power delete server ad user user computer \n compelling reason use server   m willing not know cause problem exisite   machine \n want replace machine m cautious huge scope sort thing wrong way imagine build new machine   dcpromo run domain controller month m happy work retire old machine \n fsmo role dhcp move software run dcpromo command line remove dc   use addremove program   window component uninstall dns service   lastly   remove system domain power \n prefer fsmo dhcp role wait day remove system dc \n primary area concern need ensure fsmo role properly hand dc   article tell exact step need perform httpsupportmicrosoftcomkb   \n replication gpos handle automatically frs sysvol tree   not worry \n ll likely need handle dhcp dns service   here good article move dhcp database need httpsupportmicrosoftcomkb   sure disable dhcp service dhcp database new server fire   important dhcp database stop service old server start   ll client system place duplicate ip address \n plan migrate   not bother upgrade   soe caveat dependnig app   plan upgrade   thing need schema update   need ensure application compatible   domain controller particular need ensure rodc environment plan application know writeable gc dc require   example feburary exchange   r support exchange \n go build new server   point d need compelling reason base k r   sure support application support k r   antivirus backup etc   cost os cal not issue guess not reasoning stand long term system base   year old os   think req k r exist k domain k native mode k dcs need sp later \n build new server add domain dcpromo   reason wait   sure new server remain old server set global catalog server httpsupportmicrosoftcomkb', '  server dc   harm   small network double file server \n general rule highly recommend   server domain controller global catalog server domain   way active directory stay event failure reboot \n personally hate implace upgrade server risky bad thing happen   plus not able get windows   oem fix new hardware \n lot good article microsoft blogger describe process   link \n good way ad setting member group right etc new server \n keep server domain upgrade good bet leave new box member server upgrade current dc instead use technet guide httptechnetmicrosoftcomenuslibraryccaspx assistance \n ad domain   level   wrong feature want exist   ad domain not confuse   server d need remove   dc dcpromo \n work buy new server   server os old ad domain controller run   server \n quick answer use dcpromo add   server domain controller domain   server     server dc run dcpromo   server remove domain controller   allow active directory intact service server', 'little confused   dc   ether way user site log domain cred bad dc hold fsmo role \n good   computer account password lifetime   day default   month old restore mean computer account whack   explain symptom see \n repromote fail dc solve replication issue dcs necessary demote end dc hold fsmo role \n not connectivity problem break rule tombstone perform authoritative restore backup old get rid pool allocation issue \n tombstone lifetime time delete item keep server offline backup restore time rest domain refuse replicate \n go wo say need backup order not overwrite old backup square away need \n point terminology primary server active directory pdc emulator fsmo role holder relate time sync not   compatibility specific user password validation behaviour ad database pdc emulator fsmo role holder not special magic primary copy \n good general info backup restore procedure recommend read proceed clicky \n mistake restore backup fail dc dc proper strategy poster point ve seize fsmo role hold fail dc work dc perform metadata cleanup remove fail dc directory bring new machine name fail dc fail dc thing file print sharing etc d stick rebuild s reason microsoft not recommend dcs role \n good scenario good recent backup dcs recent mean week   site   shutdown restore dc forcibly remove domain ntdsutil sure not replicate badness graceful demotion unplug network reinstall window precaution ensure not accidentally bring   restore dc good backup sieze fsmo role required   finally rejoin bad dc scratch dcpromo new domain controller exist domain etc   let replicate good \n quick answer try gracefully demote bad dc provision new dc site \n d transfer fsmo role away malfunction dc demote member server computer will not demote cleanly seize fsmo role dc forcibly demote malfunction dc perform metadata cleanup reinstall os malfunctioning dc datum file   folder intact ll reinstall app \n ve get half mind worry rid pool master go time start issue rid issue having see source code ad not know mechanism detect rid pool master roll time recall customer issue smack problem restore old rid pool master backup find create new user account future exist user account disapper ad possible']"
87,33,87_policy_gpo_group_apply,"['policy', 'gpo', 'group', 'apply', 'domain', 'user', 'account', 'permission', 'logon', 'ou']","['m get error   group policy event viewer troubleshoot properly post detail event event log see event source event detail helpful gut tell red herring \n appear rsop indicative error occur security setting incorrect user account machine get group policy \n define folder redirection policy find redirection apply appear rsopmsc checkout \n strongly suspect ve link gpo not apply subject user describe ou structure directory include ou ve link gpo ou user account locate helpful \n rsop not folder redirection gpo apply start look scope management gpo \n thing ve check restriction folder document folder redirect set right user folder server actual result \n user get policy machine sure troubled workstation ou security group \n machine work user want sure group policy enforce group policy override \n eventually decide add specific user scope folder redirection policy   \n describe question comment indicate problem gpo scope problem gpo not apply user account client computer unable process group policy \n incorrect ntfs share permission share folder will not stop group policy apply stop folder redirection actually work gpo apply regardless folder redirection happen logon knowledge recommend log workstation run rsop', 'gpo contain setting apply user computer apply setting effect thing like internet access etc group filter gpos order gpo apply user account computer account user computer need read apply gpo permission deny gpo apply grant permission gpo apply long link ou link parent ou   domain \n use group filter gpos let want grant level internet access set user create gpo create group call like ginternetaccess sure group read apply permission link group ous contain user work alternatively set people gpo apply sure not read apply permission \n work large company ve tell user need let access email phone member specific group apart activate   active sync exchange console course user need specific internet browse permission member group resource permission user need group \n aware default permission new gpo authenticateduser read apply default gpo apply user computer link ou domain \n not relationship group group policy retrospect group policy probably good choice name group policy mechanism centrally manage setting security policy need apply user computer grant access resource usually prefer group case people need need add group activity request membership group simple auditing compliance perspective \n depend exchange configuration need unlock newly add device quarantine \n edit permission gpo delegation tab click advanced permission currently list \n not extra membership gpos mailbox owner default access mailbox active sync need direct connection client access server port \n look gpos not relationship gpo group actually member specific group access want user access', 'nonstandard setup not allow user log computer reason ad user account remove domain user domain group group member local user group con computer check setting fix right \n lot computer different user role want lay name convention security group provide access different computer like \n group computer account ous organisational unit create gpo group policy object perou specify user log computer attribute computer user policy \n standard behaviour ad domain automatically add domain group domain user local group user computer join domain allow member domain user default contain user account domain log computer domain \n remote desktop user group computer name computer correspond ad security group call access   computer   remote desktop user \n instead try configure property computer use group policy modify membership local user administrator group workstation   additionally use policy modify security policy like logon locally logon network etc']"
88,32,88_firewall_router_network_pfsense,"['firewall', 'router', 'network', 'pfsense', 'sonicwall', 'internet', 'asa', 'carp', 'interface', 'address']","['year ve sonicwall pro   firewall relatively small host environment want upgrade fast box support ipv preferably d like stay sonicwall serve year upgrade nsa \n time run firewall call transparent mode way firewall completely transparent network ie server firewall firewall protect network server firewall configure firewall eg gateway address router outside firewall combination vlan   allow host server separately transparent way customer \n move new ip address space want support ipv rethink solution reason transparent mode support ipv rare nonexiste want support ipv use route mode kind question pop hopefully help opinion andor answer', 'not need directly connect modem catch virus thinking connect wire wifi pass virus \n bad course end alert s connect come quit day alert install new go wrong \n m connect internet router moment linksys wrtg need software firewall set kind redundant go directly connect modem \n software firewall good want good control connection computer   weak substitute offer minimal security improvement stand hardware firewall   software firewall likely good decent substitute common sense compute   cautious use computer wiselynot download instal random app random place not need software firewall   careless computer user like mob great tool \n router default include firewall assume port open \n not need firewall router highly suggest computer firewall run connect modem short not need firewall technician recommend naked web \n software firewall good compliment hardware firewall useful detection tool prevent thing like bot network spread course pc local network router software firewall useful prevent local attack \n software firewall computer useful alert unexpected outgoing connection hardware firewall user interface pretty let outgoing connection happen default not   software firewall discerning   internet explorer certainly make connection program ve hear try outgoing smtp email connection probably malware try send spam', 'right answer   network different requirement answer depend factor vary network network   right network \n reason not answer question clear topology   not know try accomplish   remember router communicate not necessary failover pair routing protocol cam adjustment device fail s advantage asa    switch asa route not feature failover stacking feature add redundancy \n place option tend run vpns   honestly case device depend context   user access vpns well serve firewall nowadays heavy sitetosite work especially public mpls perform router   plenty valid counterexample generalization \n yes small network feature pretty use r   network need advanced route feature asa not need security performance feature router easily deliver   use \n firewall good security function   router firewall functionality ultimately feature tend addon intend small installation   stateful analysis   firewall   add idsip   firewall   lot applevel analytic intelligently filter traffic base user identity app heuristic etc   firewall   hopefully idea \n   example   buy port ge switch midrange firewall   switch able packet time rack highend firewall   time switch capable enforce relatively small number stateless rule form acls \n router provide firewalling firewall limited amount route   place value experienced architect engineer understand piece fit ought fit \n similarly bunch thing router firewall frankly not   try home multiple isp bgp want gracefully sanely control policy buy routerswitch   want build user access environment dozen downstream device   routerswitch   fancy qos   router   lot port density   switch  \n hard completely generalize   particularly high end spectrum router massively datum firewall   say speed router increase sophistication completeness security feature tend decrease  \n generally speak asa well performance security feature stateful inspection packet inspection log etc router   router route feature routing protocol bit mature few bug asa   router come size home office carrier grade performance afford']"
89,32,89_init_systemd_script_start,"['init', 'systemd', 'script', 'start', 'runlevel', 'chkconfig', 'upstart', 'startup', 'service', 'unit']","['correct behaviour depend init system perfectly clear upgrade ubuntu   systemd default mention etcinitd point systemv style init script bit different \n b reboot reboot server shutdown service end unstable state refuse start \n schedule reboot service not automatically start one notice openvpn postgresql expect firstly notice add scheduled reboot recently upgrade   go wrong upgrade \n check service correct systemd init script etcsystemdsystemmultiusertargetwantsserviceservice \n daily server reboot wrong proper way restart shutdown r properly shut service server reboot \n issue autostart daemon experience problem', 'maybe fact way work mount call init service   current version raspbian init systemd look man systemdmount pertain service mount suffix imply hardcode   want probably find way disable create service play appropriate role   simple way accomplish thing eg symlink etcfstab doubt \n early version raspbian sysv init presumably script edit   problem change likely protect system update   well approach systemd tweak init service set supplant \n case require bit diligence study get root filesystem mount usually critical element boot process properly complete thing happen', 'sysvstyle init system runlevel basically method allow system boot variety potential startup configuration analogize window hardware profile safe mode etc familiar window determine script execute bsdstyle init system series rc script determine start boot \n ubuntu dirivetive upstart binary call sbininit file etcinit configure startup behavior \n distribution start init initial ram disk initrd filesystem boot load kernel module bootstrap system point real root filesystem mount access \n different distribution linux use different method identify script order execute somestiem differentiate give runlevel sysv style init wikipedia page init detail basically break style choice method store   reference script init kernel agnostic type init convention start init userlevel process \n ubuntu   rhelbeta classic init replace upstart use etcinit directory instead etcinittab   etcinit bunch individual file configuration condition cause run   equivalent etcrcdrcsysinit rest equivalent etcinitd script \n linux process get start sbininit use file etcinittab man start process \n boot process follow kernel startup actually fairly simple kernel start init parse etcinittab start script   script start daemon program run background normal system operation init spawn getty process service user logon console typically interface serial']"
90,31,90_password_lastpass_encrypt_hash,"['password', 'lastpass', 'encrypt', 'hash', 'store', 'keepass', 'key', 'keychain', 'character', 'master']","['mean use encryption not private openssh key accept openssl commandline tool pretty \n actually browser plugin happy lastpass password need   encrypt password meet requirement     standalone app run linux mobile app factor authentication   mobile factor require pay subscription \n m look linux password manager manage large number password ve keepass recently switch arch feel native linux application load slow window look oddly integrate linux m look alternative like able encrypt password ssh key instead password addition quick retrieval important quick search password copy clipboard need \n oh say encrypt password ssh key ssh key not encryption authentication signing \n devicesbrowser sync storage system make people uneasy store password defend unable decrypt anyones password content \n plus organization use personal password organization password   department password relate work', 'summarize worried log site s insecure master password safe   lastpass d probably lame password site mean d secure overall \n lastpass not store password clear especially master password not think store vulnerability manage hold encryption salt master password   reduce time take crack master password remember login age universe square million year assume encryption key generate master password salt lastpass not believe case m fairly certain tough \n general   addition server password store local machine encrypt state send password server encrypt bit aes ie good encryption leave machine   likewise password server encrypted state master password decrypt   log website ssl ie https particular password vulnerable master password safe   use different password master password right \n addition log site ll secure session mean information pass lastpass theoretically safe', 'ultimately key preegress encryption   ie need encrypt leave computer rely cloud security critical datum safe encrypt \n d like remote service sure not backup copy case hdd fail \n password keepass encrypt password key file key file device encrypt database keyfile dropbox \n m actually store google drive spreadsheet file describe user password role service \n addition aforementioned keepass keepassx unix derivative find folk fan lastpass password prefer use lastpass linux support encryption happen client ui integrate browser yubikey support builtin password generation storage easy use     character random alphanumericsymbol password hundred account \n password service like database webserver user run customer service important safe place strong \n way acces encrypt database store cloud keyfile think safe \n manually text file save inside truecrypt vault dropbox easy \n instead use password manager password manager save password encrypt form sync encrypt file device example password manager password \n encrypt copy encrypt file cloud way assume bad password encryption password securely store offsite']"
